timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-28T19:23:05+08:00	baseline	specz-archive	-	68.7	baseline	-	runtime_warn=0; dim4缺显性checkpoint; dim3缺证据不足停止分支	full_test
2026-05-28T19:23:05+08:00	baseline	specz-brief	-	83.0	baseline	-	runtime_warn=0; dim4缺显性checkpoint; artifact冲突处理缺显性停止点	full_test
2026-05-28T19:23:05+08:00	baseline	specz-clarify	-	78.7	baseline	-	runtime_warn=0; dim4缺显性checkpoint; 增量更新最小diff指引不足	full_test
2026-05-28T19:23:05+08:00	baseline	specz-flow	-	78.1	baseline	-	runtime_warn=0; dim4缺显性checkpoint; 轻量任务流程摩擦偏高	full_test
2026-05-28T19:23:05+08:00	baseline	specz-plan	-	80.4	baseline	-	runtime_warn=0; dim4缺显性checkpoint; 上下文采集最低证据门槛不足	full_test
2026-05-28T19:23:05+08:00	baseline	specz-run	-	83.9	baseline	-	runtime_warn=0; dim4缺显性checkpoint; 状态完备性依赖偏强	full_test
2026-05-28T19:29:39+08:00	working-tree	specz-archive	68.7	84.7	keep	dim3+dim4	新增Stop Conditions和删除前显性checkpoint; judges=A/B dim8=9	full_test
2026-05-28T19:46:28+08:00	working-tree	specz-flow	78.1	87.5	keep	dim3+dim4	新增Checkpoints并硬化continue/命名bundle失败分支和local fast path; judges=C/D dim8=9	full_test
2026-05-28T19:56:57+08:00	working-tree	specz-clarify	78.7	87.5	keep	dim3+dim4	新增Checkpoints并硬化明确请求不多问与既有spec最小diff; judges=A/B2 dim8=9	full_test
2026-05-28T20:17:07+08:00	working-tree	specz-plan	80.4	87.5	keep	dim3+dim4	新增Checkpoints和Context Evidence Gate并要求changed surface证据映射; judges=C/D dim8=9	full_test
2026-05-28T20:30:35+08:00	working-tree	specz-brief	83.0	89.5	keep	dim3+dim4	新增Checkpoints并硬化spec充分性和artifact冲突不做结论; judges=A/B dim8=9	full_test
2026-05-29T09:11:56+08:00	working-tree	specz-run	83.9	87.5	keep	dim3+dim4	新增Checkpoints和State Recovery并要求small证据写入Result Block; judges=A/B dim8=8.7/9	full_test
2026-05-29T15:01:25+08:00	baseline	design-md	-	79.9	baseline	-	runtime_warn=0; dim9黑名单分散; dim4缺显性STOP; dim8=dry_run	dry_run
2026-05-29T15:01:25+08:00	baseline	project-ui-skill-builder	-	73.5	baseline	-	runtime_warn=0; dim3失败分支不足; dim9黑名单偏弱; dim8=dry_run	dry_run
2026-05-29T15:01:25+08:00	baseline	project-ui-prototyper	-	78.0	baseline	-	runtime_warn=0; dim3缺规则缺失和预览失败兜底; dim9未成章; dim8=dry_run	dry_run
2026-05-29T15:01:25+08:00	working-tree	design-md	79.9	90.6	keep	dim3+dim4+dim9	新增任务分流、显性STOP、失败兜底和反例黑名单; judge=Pasteur dry_run	dry_run
2026-05-29T15:01:25+08:00	working-tree	project-ui-skill-builder	73.5	86.1	keep	dim3+dim4+dim5+dim9	新增最小提取/输出契约、显性STOP、失败兜底和黑名单; judge=Pasteur dry_run	dry_run
2026-05-29T15:01:25+08:00	working-tree	project-ui-prototyper	78.0	86.8	keep	dim3+dim4+dim9	新增输入门禁、扩展边界、显性STOP、失败兜底和黑名单; judge=Pasteur dry_run	dry_run
2026-06-03T19:07:42+08:00	baseline	specz-flow	-	85.5	baseline	dim2+dim5	runtime_warn=0; judges=A/B dry_run; 需要状态权威顺序和输出模板	dry_run
2026-06-03T19:07:42+08:00	baseline	specz-clarify	-	86.4	baseline	dim3+dim9	runtime_warn=0; judges=A/B dry_run; 缺少集中Failure Modes和不该问什么	dry_run
2026-06-03T19:07:42+08:00	baseline	specz-archive	-	86.7	baseline	dim2+dim5	runtime_warn=0; judges=A/B dry_run; 输出契约不够机器化但历史高分90.1	dry_run
2026-06-03T19:07:42+08:00	working-tree	specz-flow	85.5	89.5	keep	dim2+dim3+dim5	新增State authority order、Decision examples、Output template; judges=C/D dry_run	dry_run
2026-06-03T19:07:42+08:00	working-tree	specz-clarify	86.4	89.0	keep	dim3+dim9	新增Failure Modes和不该问什么; judges=C/D dry_run	dry_run
2026-06-03T19:07:42+08:00	working-tree	specz-archive	86.7	88.3	revert	dim2+dim5	Archive Output Contract未严格超过历史上沿90.1; 已回滚本轮archive增量; judges=C/D dry_run	dry_run
2026-07-06T00:00:00+08:00	working-tree	specz-run	87.5	90.8	keep	dim9+dim8	移除gpt-5.4模型硬编码恢复双端runtime中立; judge独立子agent dim8=9; runtime_warn=0	full_test
2026-07-06T00:00:00+08:00	working-tree	specz-archive	84.7	85.2	keep	dim2+dim8	新增机器可读Output块与specz-flow对齐; judge独立子agent dim8=8.5; +0.5属噪声带人审确认; runtime_warn=0	full_test
